S1,S2,S3,resp,resptime
stimuli/einstein_80.jpg,stimuli/einstein_5.jpg,stimuli/einstein_0.jpg,0,3.557804
stimuli/einstein_0.jpg,stimuli/einstein_10.jpg,stimuli/einstein_20.jpg,0,1.946228
stimuli/einstein_100.jpg,stimuli/einstein_80.jpg,stimuli/einstein_0.jpg,1,1.54549
stimuli/einstein_80.jpg,stimuli/einstein_10.jpg,stimuli/einstein_0.jpg,1,2.321991
stimuli/einstein_0.jpg,stimuli/einstein_20.jpg,stimuli/einstein_80.jpg,0,1.633267
stimuli/einstein_60.jpg,stimuli/einstein_80.jpg,stimuli/einstein_100.jpg,0,1.612987
stimuli/einstein_40.jpg,stimuli/einstein_80.jpg,stimuli/einstein_100.jpg,1,1.441562
stimuli/einstein_0.jpg,stimuli/einstein_40.jpg,stimuli/einstein_60.jpg,0,1.52866
stimuli/einstein_10.jpg,stimuli/einstein_60.jpg,stimuli/einstein_80.jpg,0,1.75988
stimuli/einstein_80.jpg,stimuli/einstein_40.jpg,stimuli/einstein_10.jpg,1,1.344265
stimuli/einstein_20.jpg,stimuli/einstein_80.jpg,stimuli/einstein_100.jpg,0,1.542251
stimuli/einstein_5.jpg,stimuli/einstein_60.jpg,stimuli/einstein_80.jpg,0,1.496077
stimuli/einstein_100.jpg,stimuli/einstein_40.jpg,stimuli/einstein_10.jpg,1,1.37493
stimuli/einstein_60.jpg,stimuli/einstein_40.jpg,stimuli/einstein_20.jpg,1,1.417792
stimuli/einstein_100.jpg,stimuli/einstein_60.jpg,stimuli/einstein_20.jpg,0,1.617674
stimuli/einstein_20.jpg,stimuli/einstein_40.jpg,stimuli/einstein_80.jpg,0,1.471898
stimuli/einstein_60.jpg,stimuli/einstein_40.jpg,stimuli/einstein_10.jpg,1,1.513866
stimuli/einstein_5.jpg,stimuli/einstein_10.jpg,stimuli/einstein_60.jpg,0,1.498024
stimuli/einstein_5.jpg,stimuli/einstein_60.jpg,stimuli/einstein_100.jpg,0,1.553467
stimuli/einstein_80.jpg,stimuli/einstein_60.jpg,stimuli/einstein_20.jpg,1,1.457855
stimuli/einstein_20.jpg,stimuli/einstein_40.jpg,stimuli/einstein_100.jpg,0,1.593849
stimuli/einstein_100.jpg,stimuli/einstein_60.jpg,stimuli/einstein_40.jpg,0,1.558062
stimuli/einstein_5.jpg,stimuli/einstein_10.jpg,stimuli/einstein_80.jpg,1,2.368736
stimuli/einstein_80.jpg,stimuli/einstein_40.jpg,stimuli/einstein_0.jpg,1,1.505832
stimuli/einstein_5.jpg,stimuli/einstein_10.jpg,stimuli/einstein_100.jpg,0,1.793698
stimuli/einstein_5.jpg,stimuli/einstein_40.jpg,stimuli/einstein_60.jpg,0,1.465952
stimuli/einstein_80.jpg,stimuli/einstein_40.jpg,stimuli/einstein_5.jpg,1,1.416251
stimuli/einstein_0.jpg,stimuli/einstein_5.jpg,stimuli/einstein_100.jpg,1,1.761708
stimuli/einstein_10.jpg,stimuli/einstein_80.jpg,stimuli/einstein_100.jpg,0,1.593466
stimuli/einstein_60.jpg,stimuli/einstein_10.jpg,stimuli/einstein_0.jpg,1,1.727951
stimuli/einstein_0.jpg,stimuli/einstein_5.jpg,stimuli/einstein_20.jpg,1,1.650483
