S1,S2,S3,resp,resptime
stimuli/einstein_80.jpg,stimuli/einstein_10.jpg,stimuli/einstein_5.jpg,0,13.734424
stimuli/einstein_0.jpg,stimuli/einstein_5.jpg,stimuli/einstein_10.jpg,1,2.000097
stimuli/einstein_80.jpg,stimuli/einstein_40.jpg,stimuli/einstein_20.jpg,0,4.871352
stimuli/einstein_60.jpg,stimuli/einstein_40.jpg,stimuli/einstein_20.jpg,0,1.900609
stimuli/einstein_100.jpg,stimuli/einstein_10.jpg,stimuli/einstein_0.jpg,0,1.891656
stimuli/einstein_20.jpg,stimuli/einstein_40.jpg,stimuli/einstein_100.jpg,1,3.80385
stimuli/einstein_100.jpg,stimuli/einstein_5.jpg,stimuli/einstein_0.jpg,0,1.316835
stimuli/einstein_5.jpg,stimuli/einstein_20.jpg,stimuli/einstein_60.jpg,0,6.148811
stimuli/einstein_100.jpg,stimuli/einstein_60.jpg,stimuli/einstein_0.jpg,1,1.470762
stimuli/einstein_0.jpg,stimuli/einstein_5.jpg,stimuli/einstein_40.jpg,0,1.007642
stimuli/einstein_20.jpg,stimuli/einstein_10.jpg,stimuli/einstein_5.jpg,1,7.018599
stimuli/einstein_0.jpg,stimuli/einstein_20.jpg,stimuli/einstein_100.jpg,0,1.099407
stimuli/einstein_80.jpg,stimuli/einstein_60.jpg,stimuli/einstein_10.jpg,1,1.023301
stimuli/einstein_0.jpg,stimuli/einstein_80.jpg,stimuli/einstein_100.jpg,0,0.65616
stimuli/einstein_100.jpg,stimuli/einstein_60.jpg,stimuli/einstein_40.jpg,1,4.014204
stimuli/einstein_60.jpg,stimuli/einstein_40.jpg,stimuli/einstein_0.jpg,1,0.867546
stimuli/einstein_100.jpg,stimuli/einstein_80.jpg,stimuli/einstein_20.jpg,1,4.079771
stimuli/einstein_5.jpg,stimuli/einstein_10.jpg,stimuli/einstein_100.jpg,1,5.1135
stimuli/einstein_0.jpg,stimuli/einstein_5.jpg,stimuli/einstein_60.jpg,1,4.00436
stimuli/einstein_80.jpg,stimuli/einstein_40.jpg,stimuli/einstein_0.jpg,1,6.795117
stimuli/einstein_100.jpg,stimuli/einstein_20.jpg,stimuli/einstein_5.jpg,1,0.913651
stimuli/einstein_80.jpg,stimuli/einstein_40.jpg,stimuli/einstein_5.jpg,1,2.191349
stimuli/einstein_0.jpg,stimuli/einstein_10.jpg,stimuli/einstein_60.jpg,0,3.609935
stimuli/einstein_100.jpg,stimuli/einstein_80.jpg,stimuli/einstein_10.jpg,1,4.410118
stimuli/einstein_5.jpg,stimuli/einstein_20.jpg,stimuli/einstein_40.jpg,0,1.175922
stimuli/einstein_0.jpg,stimuli/einstein_10.jpg,stimuli/einstein_40.jpg,0,3.174435
stimuli/einstein_40.jpg,stimuli/einstein_80.jpg,stimuli/einstein_100.jpg,0,10.231201
stimuli/einstein_20.jpg,stimuli/einstein_10.jpg,stimuli/einstein_0.jpg,1,2.904198
stimuli/einstein_20.jpg,stimuli/einstein_60.jpg,stimuli/einstein_80.jpg,0,2.627179
stimuli/einstein_80.jpg,stimuli/einstein_60.jpg,stimuli/einstein_40.jpg,1,3.615794
stimuli/einstein_60.jpg,stimuli/einstein_40.jpg,stimuli/einstein_10.jpg,1,1.110339
stimuli/einstein_100.jpg,stimuli/einstein_80.jpg,stimuli/einstein_60.jpg,1,4.141576
stimuli/einstein_20.jpg,stimuli/einstein_60.jpg,stimuli/einstein_100.jpg,1,0.90962
