S1,S2,S3,resp,resptime
stimuli/einstein_5.jpg,stimuli/einstein_20.jpg,stimuli/einstein_100.jpg,0,6.641182
stimuli/einstein_5.jpg,stimuli/einstein_40.jpg,stimuli/einstein_100.jpg,0,2.170882
stimuli/einstein_10.jpg,stimuli/einstein_40.jpg,stimuli/einstein_80.jpg,0,1.786646
stimuli/einstein_60.jpg,stimuli/einstein_20.jpg,stimuli/einstein_5.jpg,1,5.435817
stimuli/einstein_60.jpg,stimuli/einstein_40.jpg,stimuli/einstein_5.jpg,1,0.827855
stimuli/einstein_100.jpg,stimuli/einstein_60.jpg,stimuli/einstein_5.jpg,1,1.303552
stimuli/einstein_60.jpg,stimuli/einstein_40.jpg,stimuli/einstein_10.jpg,1,4.024836
stimuli/einstein_10.jpg,stimuli/einstein_20.jpg,stimuli/einstein_80.jpg,1,5.966911
stimuli/einstein_80.jpg,stimuli/einstein_20.jpg,stimuli/einstein_5.jpg,1,9.830321
stimuli/einstein_40.jpg,stimuli/einstein_10.jpg,stimuli/einstein_5.jpg,1,7.489219
stimuli/einstein_10.jpg,stimuli/einstein_80.jpg,stimuli/einstein_100.jpg,0,5.249061
stimuli/einstein_100.jpg,stimuli/einstein_40.jpg,stimuli/einstein_0.jpg,1,2.594747
stimuli/einstein_20.jpg,stimuli/einstein_60.jpg,stimuli/einstein_80.jpg,0,10.41034
stimuli/einstein_100.jpg,stimuli/einstein_40.jpg,stimuli/einstein_10.jpg,1,2.581894
stimuli/einstein_0.jpg,stimuli/einstein_5.jpg,stimuli/einstein_100.jpg,0,4.620031
stimuli/einstein_5.jpg,stimuli/einstein_40.jpg,stimuli/einstein_80.jpg,0,4.611799
stimuli/einstein_40.jpg,stimuli/einstein_20.jpg,stimuli/einstein_5.jpg,1,3.00933
stimuli/einstein_0.jpg,stimuli/einstein_20.jpg,stimuli/einstein_80.jpg,0,2.548607
stimuli/einstein_0.jpg,stimuli/einstein_10.jpg,stimuli/einstein_60.jpg,0,3.612807
stimuli/einstein_40.jpg,stimuli/einstein_10.jpg,stimuli/einstein_0.jpg,1,2.212468
stimuli/einstein_40.jpg,stimuli/einstein_5.jpg,stimuli/einstein_0.jpg,0,8.981407
stimuli/einstein_100.jpg,stimuli/einstein_20.jpg,stimuli/einstein_0.jpg,1,4.814866
stimuli/einstein_60.jpg,stimuli/einstein_5.jpg,stimuli/einstein_0.jpg,0,124.166953
stimuli/einstein_0.jpg,stimuli/einstein_80.jpg,stimuli/einstein_100.jpg,0,2.600211
stimuli/einstein_80.jpg,stimuli/einstein_10.jpg,stimuli/einstein_0.jpg,1,4.534401
stimuli/einstein_0.jpg,stimuli/einstein_20.jpg,stimuli/einstein_60.jpg,0,2.097384
stimuli/einstein_0.jpg,stimuli/einstein_20.jpg,stimuli/einstein_40.jpg,0,2.088326
stimuli/einstein_60.jpg,stimuli/einstein_20.jpg,stimuli/einstein_10.jpg,1,25.788901
stimuli/einstein_10.jpg,stimuli/einstein_20.jpg,stimuli/einstein_40.jpg,0,5.115439
stimuli/einstein_10.jpg,stimuli/einstein_60.jpg,stimuli/einstein_100.jpg,0,5.007077
stimuli/einstein_0.jpg,stimuli/einstein_40.jpg,stimuli/einstein_80.jpg,0,1.470599
stimuli/einstein_0.jpg,stimuli/einstein_40.jpg,stimuli/einstein_60.jpg,0,0.750009
stimuli/einstein_100.jpg,stimuli/einstein_40.jpg,stimuli/einstein_20.jpg,0,12.342618
stimuli/einstein_40.jpg,stimuli/einstein_80.jpg,stimuli/einstein_100.jpg,0,17.681592
stimuli/einstein_0.jpg,stimuli/einstein_10.jpg,stimuli/einstein_100.jpg,0,1.567905
stimuli/einstein_80.jpg,stimuli/einstein_60.jpg,stimuli/einstein_0.jpg,1,2.765039
stimuli/einstein_10.jpg,stimuli/einstein_5.jpg,stimuli/einstein_0.jpg,1,2.376026
stimuli/einstein_5.jpg,stimuli/einstein_10.jpg,stimuli/einstein_100.jpg,0,8.694935
stimuli/einstein_10.jpg,stimuli/einstein_20.jpg,stimuli/einstein_100.jpg,0,1.705775
stimuli/einstein_5.jpg,stimuli/einstein_10.jpg,stimuli/einstein_80.jpg,0,1.393265
stimuli/einstein_40.jpg,stimuli/einstein_60.jpg,stimuli/einstein_80.jpg,0,15.657805
stimuli/einstein_100.jpg,stimuli/einstein_60.jpg,stimuli/einstein_0.jpg,1,1.325509
stimuli/einstein_80.jpg,stimuli/einstein_5.jpg,stimuli/einstein_0.jpg,0,8.612882
stimuli/einstein_20.jpg,stimuli/einstein_10.jpg,stimuli/einstein_0.jpg,1,7.062323
stimuli/einstein_60.jpg,stimuli/einstein_40.jpg,stimuli/einstein_20.jpg,1,5.171734
stimuli/einstein_60.jpg,stimuli/einstein_10.jpg,stimuli/einstein_5.jpg,1,1.444703
stimuli/einstein_0.jpg,stimuli/einstein_5.jpg,stimuli/einstein_20.jpg,1,7.765368
